id,name,category,description,fs
claims_league_territory,"Claims former League territories lost to Hegemony",territorial,"Considers Hegemony-held former League worlds as rightfully theirs.",#
fears_internal_fracture,"Fears internal fracturing of the League",political,"Worried about League unity breaking down.",#
absorb_fringe_colonies,"Wants to absorb independent fringe colonies",territorial,"Seeks to bring independent border systems into the League.",#
values_alliance_honor,"Values factions that honor alliances",political,"Strong positive disposition toward reliable allies.",#
values_trade_cooperation,"Values trade partners — economic cooperation",economic,"Prefers factions willing to engage in mutual trade.",#
distrusts_military_rivals,"Distrusts military rivals",military,"Envious of factions with stronger militaries.",#
distrusts_treaty_breakers,"Distrusts factions that break treaties",political,"Heavy penalties for factions that violate agreements.",#
fuel_monopoly_nonnegotiable,"Fuel monopoly is non-negotiable",economic,"Will not tolerate competition in fuel markets.",#
diktat_authority_absolute,"Diktat authority is absolute within its territory",political,"No outside interference tolerated in Diktat space.",#
military_economic_enforcement,"Military enforcement of economic interests",military,"Uses force to protect trade and resources.",#
expand_fuel_territory,"Wants to expand fuel extraction territory",territorial,"Seeks new systems with fuel resources.",#
resents_heg_interference,"Resents Hegemony oversight and interference",political,"Chafes under Hegemony regulations.",#
fuel_competitors_threats,"Views competitors in fuel market as threats",economic,"Hostile toward factions that produce or trade fuel.",#
distrusts_expansion_near_diktat,"Distrusts rapid expansion near Diktat territory",territorial,"Wary of factions growing near their borders.",#
distrusts_challenge_authority,"Distrusts factions that challenge Diktat authority",political,"Hostile toward factions that question their rule.",#
profit_any_means,"Profit through any means necessary",economic,"Will use any method to make money.",#
reject_authority,"Reject all centralized authority",political,"Opposes any government or organized power.",#
respects_strength,"Respects military strength — prey on weakness",military,"Strong factions are respected; weak ones are targets.",#
targets_poorly_defended,"Targets wealthy poorly defended systems",territorial,"Focuses raids on rich but vulnerable markets.",#
values_no_questions_trade,"Values trade partners who don't ask questions",economic,"Prefers trading partners without moral qualms.",#
distrusts_law_order,"Distrusts law-and-order factions",political,"Hostile toward factions that enforce strict laws.",#
distrusts_restricted_markets,"Distrusts factions that restrict free markets",economic,"Opposed to trade restrictions and tariffs.",#
self_governance,"Self-governance and autonomy",political,"Believes each colony should govern itself.",#
trade_cooperation,"Trade and cooperation benefit all",economic,"Supports mutual trade for shared prosperity.",#
prefers_neutrality,"Prefers neutrality in major faction conflicts",political,"Avoids picking sides in wars between major powers.",#
values_respects_autonomy,"Values factions that respect autonomy",political,"Positively disposed toward factions that don't interfere.",#
distrusts_expansionist_near,"Distrusts expansionist factions near independent space",territorial,"Wary of large factions growing near their territory.",#
distrusts_pressures_independents,"Distrusts factions that pressure independents",political,"Hostile toward factions that bully smaller states.",#
defend_faithful,"Defend the faithful through force",military,"Will fight to protect Luddic believers.",#
protect_church,"Church must be protected from external threats",political,"Prioritizes defense of Church territory and people.",#
values_military_allies,"Values military strength in allies",military,"Prefers alliances with strong military factions.",#
protect_diktat,"Protect the Diktat at all costs",political,"Will sacrifice anything for Diktat survival.",#
elite_military,"Elite military supremacy",military,"Believes in maintaining an elite fighting force.",#
loyalty_above_morality,"Loyalty to the Diktat above personal morality",political,"Will commit any act for the Diktat.",#
distrusts_hostile_diktat,"Distrusts factions hostile to the Diktat",political,"Hostile toward anyone threatening the Diktat.",#
defend_domain_installations,"Defend Domain-era installations",territorial,"Protects ancient Domain facilities.",#
hostile_organic,"Hostile to all organic factions",ideological,"Fundamentally opposed to biological life.",#
unknown_purpose,"Unknown deeper purpose",political,"Has goals that cannot be understood from outside.",#
